Leaf ID,Estimated start of necrosis,Full Necrosis,Notes,Notes,Disc
BHE Control Plate 1,19-Apr,23-Apr,,,1
BHE Control Plate 2,10-Apr,23-Apr,,,1
BHE Control Plate 3,,,,,1
BHE Control Plate 4,,,,,1
BHE Control Plate 5,19-Apr,21-Apr,algae,,1
BHE Salt Plate 1,16-Apr,17-Apr,,,1
BHE Salt Plate 2,15-Apr,18-Apr,,,1
BHE Salt Plate 3,18-Apr,21-Apr,"red/hard to tell necrosis start, flipped over after 5 days",,1
BHE Salt Plate 4,n/a,n/a,red/ never looked necrotic,,1
BHE Salt Plate 5,n/a,n/a,"red/ never looked necrotic, edges curved up",,1
HEC Control Plate 1,17-Apr,20-Apr,,,1
HEC Control Plate 2,16-Apr,21-Apr,,,1
HEC Control Plate 3,,,,,1
HEC Control Plate 4,,,,,1
HEC Control Plate 5,24-Apr,28-Apr,,,1
HEC Salt Plate 1,18-Apr,25-Apr,,,1
HEC Salt Plate 2,16-Apr,19-Apr,,,1
HEC Salt Plate 3,18-Apr,23-Apr,curled up,,1
HEC Salt Plate 4,15-Apr,18-Apr,,,1
HEC Salt Plate 5,17-Apr,20-Apr,,,1
LMC Control Plate 1,18-Apr,22-Apr,,fungal growth,1
LMC Control Plate 2,19-Apr,24-Apr,algae,algae,1
LMC Control Plate 3,,,,,1
LMC Control Plate 4,,,,,1
LMC Control Plate 5,17-Apr,20-Apr,algae,algae,1
LMC Salt Plate 1,14-Apr,18-Apr,,,1
LMC Salt Plate 2,15-Apr,18-Apr,(fungal/bacterial growth),(fungal/bacterial growth),1
LMC Salt Plate 3,16-Apr,18-Apr,fungal growth,,1
LMC Salt Plate 4,14-Apr,18-Apr,(fungal/bacterial growth),(fungal/bacterial growth),1
LMC Salt Plate 5,14-Apr,18-Apr,turned red ,,1
OAE Control Plate 1,19-Apr,21-Apr,,,1
OAE Control Plate 2,18-Apr,21-Apr,,,1
OAE Control Plate 3,,,,,1
OAE Control Plate 4,,,,,1
OAE Control Plate 5,20-Apr,23-Apr,,,1
OAE Salt Plate 1,16-Apr,19-Apr,,,1
OAE Salt Plate 2,16-Apr,19-Apr,,,1
OAE Salt Plate 3,15-Apr,19-Apr,,fungal growth,1
OAE Salt Plate 4,16-Apr,19-Apr,,,1
OAE Salt Plate 5,15-Apr,18-Apr,fungal growth,,1
OPB Control Plate 1,18-Apr,20-Apr,,,1
OPB Control Plate 2,18-Apr,24-Apr,,,1
OPB Control Plate 3,,,,,1
OPB Control Plate 4,,,,,1
OPB Control Plate 5,19-Apr,24-Apr,,,1
