pop.code,rep,leaf_side,filename
SWC,10,ad.file,DSC_0368
SWC,10,ab.file,DSC_0371
SWC,1,ad.file,DSC_0372
SWC,1,ab.file,DSC_0374
LMC,11,ad.file,DSC_0375
LMC,11,ab.file,DSC_0376
SWC,7,ad.file,DSC_0377
SWC,7,ab.file,DSC_0378
TOR,9,ad.file,DSC_0380
TOR,9,ab.file,DSC_0381
SWC,12,ad.file,DSC_0382
SWC,12,ab.file,DSC_0383
SWC,15,ad.file,DSC_0384
SWC,15,ab.file,DSC_0385
LMC,1,ad.file,DSC_0386
LMC,1,ab.file,DSC_0388
LMC,14,ad.file,DSC_0389
LMC,14,ab.file,DSC_0390
RGR,12,ad.file,DSC_0391
RGR,12,ab.file,DSC_0392
SWC,5,ad.file,DSC_0393
SWC,5,ab.file,DSC_0394
TOR,2,ad.file,DSC_0395
TOR,2,ab.file,DSC_0396
LMC,7,ad.file,DSC_0397
LMC,7,ab.file,DSC_0398
SWC,6,ad.file,DSC_0399
SWC,6,ab.file,DSC_0401
RGR,3,ad.file,DSC_0402
RGR,3,ab.file,DSC_0403
LMC,4,ad.file,DSC_0405
LMC,4,ab.file,DSC_0406
TOR,14,ad.file,DSC_0407
TOR,14,ab.file,DSC_0408
LMC,5,ad.file,DSC_0410
LMC,5,ab.file,DSC_0411
LMC,13,ad.file,DSC_0412
LMC,13,ab.file,DSC_0413
TOR,3,ad.file,DSC_0414
TOR,3,ab.file,DSC_0415
OAE,1,ad.file,DSC_0416
OAE,1,ab.file,DSC_0417
SWC,3,ad.file,DSC_0418
SWC,3,ab.file,DSC_0419
SWC,8,ad.file,DSC_0420
SWC,8,ab.file,DSC_0421
LMC,6,ad.file,DSC_0422
LMC,6,ab.file,DSC_0423
LMC,3,ab.file,DSC_0424
LMC,3,ad.file,DSC_0425
OAE,3,ad.file,DSC_0426
OAE,3,ab.file,DSC_0427
LMC,8,ad.file,DSC_0428
LMC,8,ab.file,DSC_0429
OAE,2,ad.file,DSC_0430
OAE,2,ab.file,DSC_0431
SWC,13,ad.file,DSC_0432
SWC,13,ab.file,DSC_0433
SWC,14,ad.file,DSC_0435
SWC,14,ab.file,DSC_0436
SWC,2,ad.file,DSC_0437
