file_name,stomate_rep,stomate_length_um,notes
BHE_1_ab_1,1,21.833,
,2,22.982,
,3,26.687,
,4,20.795,
,5,22.629,
,6,18.868,
,7,22.597,
,8,23.48,
,9,22.734,
,10,18.468,
BHE_1_ad_1,1,24.72,
,2,23.01,
,3,23.428,
,4,26.609,
,5,20.282,
,6,20.52,
,7,19.181,
,8,21.49,
,9,19.972,
,10,20.279,
BHE_10_ab_1,1,25.187,
,2,25.236,
,3,24.09,
,4,24.951,
,5,26.778,
,6,25.864,
,7,23.369,
,8,22.562,
,9,25.103,
,10,23.321,
BHE_10_ad_1,1,21.335,
,2,22.301,
,3,26.306,
,4,23.096,
,5,22.314,
,6,22.629,
,7,22.065,
,8,24.806,
,9,22.574,
,10,23.937,
BHE_11_ab_1,1,22.901,
,2,23.211,
,3,23.734,
,4,22.636,
,5,22.64,
,6,25.915,
,7,19.071,
,8,19.87,
,9,24.662,
,10,22.484,
BHE_11_ad_1,1,23.021,
,2,20.072,
,3,18.231,
,4,22.396,
,5,21.095,
,6,22.749,
,7,17.939,
,8,18.758,
,9,22.286,
,10,18.381,
BHE_12_ab_1,1,26.412,
,2,25.496,
,3,23.174,
,4,25.258,
,5,22.521,
,6,23.172,
,7,22.334,
,8,25.241,
,9,26.639,
,10,22.062,
BHE_12_ad_1,1,21.675,
,2,19.16,
,3,21.261,
,4,19.108,
,5,22.481,
,6,21.487,
,7,21.692,
,8,20.913,
,9,20.745,
,10,22.633,
BHE_13_ab_1,1,21.781,
,2,25.556,
,3,24.635,
,4,25.07,
,5,24.011,
,6,22.8,
,7,22.521,
,8,25.813,
,9,23.419,
,10,20.324,
BHE_13_ad_1,1,22.726,
,2,25.166,
,3,22.897,
,4,25.503,
,5,23.009,
,6,19.176,
,7,23.926,
,8,22.69,
,9,21.204,
,10,21.873,
BHE_14_ab_1,1,22.685,
,2,23.374,
,3,23.996,
,4,21.989,
,5,23.091,
,6,22.557,
,7,22.365,
,8,23.633,
,9,19.054,
,10,24.179,
BHE_14_ad_1,1,18.804,
,2,24.911,
,3,22.056,
,4,20.972,
,5,22.91,
,6,22.15,
,7,21.576,
,8,21.653,
,9,21.342,
,10,21.568,
BHE_15_ab_1,1,23.542,
,2,20.938,
,3,22.656,
,4,25.789,
,5,22.404,
,6,23.966,
,7,23.125,
,8,18.159,
,9,22.581,
,10,24.52,
BHE_15_ad_1,1,23.958,
,2,22.992,
,3,24.091,
,4,22.78,
,5,25.016,
,6,21.052,
,7,24.24,
,8,22.297,
,9,24.103,
,10,25.106,
BHE_2_ab_1,1,25.525,
,2,24.609,
,3,27.03,
