"Time","bgrwp","rep","Treatment","gsw","pop","id","timepoint","ecotype"
"08:49:12",11,4,"salt",0.366913812409409,"SWC","SWC_4_salt","baseline","inland"
"08:50:40",11,1,"salt",0.493880313574648,"SWC","SWC_1_salt","baseline","inland"
"08:52:29",12,6,"salt",0.23328900597295,"RGR","RGR_6_salt","baseline","inland"
"08:53:38",2,1,"salt",0.39114182939404,"OPB","OPB_1_salt","baseline","coastal"
"08:55:18",2,2,"salt",0.308943492238767,"OPB","OPB_2_salt","baseline","coastal"
"08:56:11",5,5,"salt",0.155370320277401,"PGR","PGR_5_salt","baseline","coastal"
"08:56:55",5,1,"salt",0.207971744756427,"PGR","PGR_1_salt","baseline","coastal"
"08:58:05",4,5,"salt",0.589799739369273,"SWB","SWB_5_salt","baseline","coastal"
"08:58:47",4,1,"salt",0.283486403732874,"SWB","SWB_1_salt","baseline","coastal"
"08:59:40",1,5,"salt",0.179259144154639,"HEC","HEC_5_salt","baseline","coastal"
"09:00:27",1,3,"salt",0.103261831944044,"HEC","HEC_3_salt","baseline","coastal"
"09:01:08",12,5,"salt",0.238719679713025,"RGR","RGR_5_salt","baseline","inland"
"09:01:48",12,4,"salt",0.42094899696406,"RGR","RGR_4_salt","baseline","inland"
"09:03:47",12,2,"salt",0.194020643753784,"RGR","RGR_2_salt","baseline","inland"
"09:05:31",13,3,"salt",0.435869120755278,"OAE","OAE_3_salt","baseline","inland"
"09:06:07",13,2,"salt",0.515712608050963,"OAE","OAE_2_salt","baseline","inland"
"09:09:26",2,5,"water",0.593745031194528,"OPB","OPB_5_water","baseline","coastal"
"09:11:14",2,3,"water",0.296667768942327,"OPB","OPB_3_water","baseline","coastal"
"09:12:40",12,6,"water",0.509420976357398,"RGR","RGR_6_water","baseline","inland"
"09:13:37",12,5,"water",0.236289820204513,"RGR","RGR_5_water","baseline","inland"
"09:14:07",15,3,"water",0.392295071220525,"TOR","TOR_3_water","baseline","inland"
"09:14:58",15,6,"water",0.468159316693078,"TOR","TOR_6_water","baseline","inland"
"09:16:27",4,3,"water",0.90071141748521,"SWB","SWB_3_water","baseline","coastal"
"09:17:13",4,2,"water",0.604712990300451,"SWB","SWB_2_water","baseline","coastal"
"09:17:47",5,6,"water",0.119185196768493,"PGR","PGR_6_water","baseline","coastal"
"09:18:14",5,3,"water",0.106621953128314,"PGR","PGR_3_water","baseline","coastal"
"09:18:52",5,1,"water",0.509897089576661,"PGR","PGR_1_water","baseline","coastal"
"09:19:15",5,5,"water",0.237344148686268,"PGR","PGR_5_water","baseline","coastal"
"09:20:15",14,1,"water",0.663388109000407,"LMC","LMC_1_water","baseline","inland"
"09:21:17",14,3,"water",0.636144928344247,"LMC","LMC_3_water","baseline","inland"
"09:22:11",4,4,"water",0.54122501894709,"SWB","SWB_4_water","baseline","coastal"
"09:23:01",4,1,"water",0.816939734210935,"SWB","SWB_1_water","baseline","coastal"
"09:25:08",4,2,"salt",0.337632228249062,"SWB","SWB_2_salt","baseline","coastal"
"09:26:59",4,3,"salt",0.178719411851064,"SWB","SWB_3_salt","baseline","coastal"
"09:27:41",11,6,"salt",0.2630036163522,"SWC","SWC_6_salt","baseline","inland"
"09:28:17",11,5,"salt",0.193205336713727,"SWC","SWC_5_salt","baseline","inland"
"09:29:24",12,3,"salt",0.301719581774216,"RGR","RGR_3_salt","baseline","inland"
"09:30:22",12,1,"salt",0.295130736564703,"RGR","RGR_1_salt","baseline","inland"
"09:32:36",5,6,"salt",0.170676025923658,"PGR","PGR_6_salt","baseline","coastal"
"09:33:07",5,4,"salt",0.184901897434225,"PGR","PGR_4_salt","baseline","coastal"
"09:34:01",2,4,"salt",0.236878372376568,"OPB","OPB_4_salt","baseline","coastal"
"09:35:09",2,6,"salt",0.382040620880887,"OPB","OPB_6_salt","baseline","coastal"
"09:35:39",3,3,"salt",0.258707231306449,"BHE","BHE_3_salt","baseline","coastal"
"09:36:34",3,4,"salt",0.272647933488011,"BHE","BHE_4_salt","baseline","coastal"
"09:37:10",4,6,"salt",0.313167501866386,"SWB","SWB_6_salt","baseline","coastal"
"09:37:43",4,4,"salt",0.401225563271423,"SWB","SWB_4_salt","baseline","coastal"
"09:42:29",13,4,"salt",0.354436264537648,"OAE","OAE_4_salt","baseline","inland"
"09:43:07",13,1,"salt",0.400009935840668,"OAE","OAE_1_salt","baseline","inland"
"09:44:16",5,2,"water",-0.00453619886440797,"PGR","PGR_2_water","baseline","coastal"
"09:44:44",5,4,"water",0.118596945199241,"PGR","PGR_4_water","baseline","coastal"
"09:45:19",4,6,"water",0.384529148324383,"SWB","SWB_6_water","baseline","coastal"
"09:45:50",4,5,"water",0.381757525501823,"SWB","SWB_5_water","baseline","coastal"
"09:46:31",14,4,"water",0.657672023851547,"LMC","LMC_4_water","baseline","inland"
"09:46:57",14,5,"water",0.295204746784466,"LMC","LMC_5_water","baseline","inland"
"09:47:36",13,4,"water",0.379224038920555,"OAE","OAE_4_water","baseline","inland"
"09:48:29",13,3,"water",0.561360500164266,"OAE","OAE_3_water","baseline","inland"
"09:49:02",11,6,"water",0.446637888888915,"SWC","SWC_6_water","baseline","inland"
"09:49:53",11,5,"water",0.222840859308929,"SWC","SWC_5_water","baseline","inland"
"09:50:33",12,4,"water",0.0736824627424782,"RGR","RGR_4_water","baseline","inland"
"09:51:18",12,3,"water",0.125800538330797,"RGR","RGR_3_water","baseline","inland"
"09:52:04",13,2,"water",0.56814941221289,"OAE","OAE_2_water","baseline","inland"
"09:52:54",13,1,"water",0.627979764572149,"OAE","OAE_1_water","baseline","inland"
"09:53:31",3,4,"water",0.367369909889262,"BHE","BHE_4_water","baseline","coastal"
"09:54:04",3,5,"water",0.554352368125759,"BHE","BHE_5_water","baseline","coastal"
"09:55:48",15,5,"salt",0.344154181544763,"TOR","TOR_5_salt","baseline","inland"
"09:56:18",15,6,"salt",0.464328151657232,"TOR","TOR_6_salt","baseline","inland"
"09:58:19",3,6,"salt",0.541811952207133,"BHE","BHE_6_salt","baseline","coastal"
"09:58:57",3,5,"salt",0.424525563630713,"BHE","BHE_5_salt","baseline","coastal"
"09:59:31",14,5,"salt",0.458613358096329,"LMC","LMC_5_salt","baseline","inland"
"10:00:25",14,6,"salt",0.597278454780067,"LMC","LMC_6_salt","baseline","inland"
"10:01:11",2,3,"salt",0.521870423107305,"OPB","OPB_3_salt","baseline","coastal"
"10:01:45",2,5,"salt",0.407589626209589,"OPB","OPB_5_salt","baseline","coastal"
"10:02:41",14,7,"salt",0.596829188026252,"LMC","LMC_7_salt","baseline","inland"
"10:05:43",14,2,"salt",0.319228025731391,"LMC","LMC_2_salt","baseline","inland"
"10:06:21",1,4,"salt",0.305474446749498,"HEC","HEC_4_salt","baseline","coastal"
"10:06:44",1,2,"salt",0.203593253681403,"HEC","HEC_2_salt","baseline","coastal"
"10:08:13",11,2,"salt",0.535379037417706,"SWC","SWC_2_salt","baseline","inland"
"10:08:58",11,3,"salt",0.597621455946101,"SWC","SWC_3_salt","baseline","inland"
"10:09:28",1,1,"salt",0.121386161628721,"HEC","HEC_1_salt","baseline","coastal"
"10:09:59",1,6,"salt",0.433450285267358,"HEC","HEC_6_salt","baseline","coastal"
"10:10:30",13,5,"salt",0.501042531810944,"OAE","OAE_5_salt","baseline","inland"
"10:11:10",13,6,"salt",0.346705381003858,"OAE","OAE_6_salt","baseline","inland"
"10:33:59",3,1,"water",0.425010915986242,"BHE","BHE_1_water","baseline","coastal"
"10:34:47",3,2,"water",0.345634006068517,"BHE","BHE_2_water","baseline","coastal"
"10:35:22",15,5,"water",0.808221320669112,"TOR","TOR_5_water","baseline","inland"
"10:36:15",15,4,"water",0.90166445350379,"TOR","TOR_4_water","baseline","inland"
"10:37:28",14,2,"water",0.661550682257443,"LMC","LMC_2_water","baseline","inland"
"10:38:24",2,6,"water",0.513840893410186,"OPB","OPB_6_water","baseline","coastal"
"10:39:05",2,4,"water",0.299231657065716,"OPB","OPB_4_water","baseline","coastal"
"10:39:39",11,1,"water",0.75312047613094,"SWC","SWC_1_water","baseline","inland"
"10:40:15",11,4,"water",0.631058662131862,"SWC","SWC_4_water","baseline","inland"
"10:40:45",14,6,"water",0.592116586157663,"LMC","LMC_6_water","baseline","inland"
"10:41:26",13,5,"water",0.453505446682766,"OAE","OAE_5_water","baseline","inland"
"10:41:49",13,6,"water",0.430433015107459,"OAE","OAE_6_water","baseline","inland"
"10:42:15",1,1,"water",0.38748952196117,"HEC","HEC_1_water","baseline","coastal"
"10:42:51",1,3,"water",0.909865027233758,"HEC","HEC_3_water","baseline","coastal"
"10:45:49",3,1,"salt",0.486082047022963,"BHE","BHE_1_salt","baseline","coastal"
"10:47:33",3,2,"salt",0.388453757206303,"BHE","BHE_2_salt","baseline","coastal"
"10:48:05",15,3,"salt",0.658610017202394,"TOR","TOR_3_salt","baseline","inland"
"10:48:59",15,2,"salt",0.403723547881993,"TOR","TOR_2_salt","baseline","inland"
"10:49:29",5,2,"salt",0.281505105878269,"PGR","PGR_2_salt","baseline","coastal"
"10:49:54",5,3,"salt",0.660317099664323,"PGR","PGR_3_salt","baseline","coastal"
"10:50:42",14,4,"salt",0.630140070180041,"LMC","LMC_4_salt","baseline","inland"
"10:51:58",14,1,"salt",0.66492453903573,"LMC","LMC_1_salt","baseline","inland"
"10:52:34",3,6,"water",0.652278234258279,"BHE","BHE_6_water","baseline","coastal"
"10:56:40",2,2,"water",0.378610233048379,"OPB","OPB_2_water","baseline","coastal"
"10:57:35",2,1,"water",0.460238262471156,"OPB","OPB_1_water","baseline","coastal"
"10:58:04",15,1,"water",0.336366830002772,"TOR","TOR_1_water","baseline","inland"
"10:58:44",15,2,"water",0.393648578085665,"TOR","TOR_2_water","baseline","inland"
"10:59:11",11,3,"water",0.163638077838787,"SWC","SWC_3_water","baseline","inland"
"10:59:55",11,2,"water",0.484051720272423,"SWC","SWC_2_water","baseline","inland"
"11:00:47",12,1,"water",0.101157946863785,"RGR","RGR_1_water","baseline","inland"
"11:01:13",12,2,"water",0.144926526297573,"RGR","RGR_2_water","baseline","inland"
