file_name ,stomata_count,,,,,,,
BHE_1_ab_1,125,,,,,,,
BHE_1_ab_2,136,,,,,,,
BHE_1_ab_3,94,,,,,,,
BHE_1_ad_1,97,,,,,,,
BHE_1_ad_2,108,,,,,,,
BHE_1_ad_3,84,,,,,,,
BHE_10_ab_1,133,,,,,,,
BHE_10_ab_2,114,,,,,,,
BHE_10_ab_3,119,,,,,,,
BHE_10_ad_1,124,,,,,,,
BHE_10_ad_2,116,,,,,,,
BHE_10_ad_3,115,,,,,,,
BHE_11_ab_1,217,,,,,,,
BHE_11_ab_2,211,,,,,,,
BHE_11_ab_3,214,,,,,,,
BHE_11_ad_1,156,,,,,,,
BHE_11_ad_2,198,,,,,,,
BHE_11_ad_3,201,,,,,,,
BHE_12_ab_1,154,,,,,,,
BHE_12_ab_2,166,,,,,,,
BHE_12_ab_3,136,,,,,,,
BHE_12_ad_1,131,,,,,,,
BHE_12_ad_2,127,,,,,,,
BHE_12_ad_3,129,,,,,,,
BHE_13_ab_1,137,,,,,,,
BHE_13_ab_2,145,,,,,,,
BHE_13_ab_3,146,,,,,,,
BHE_13_ad_1,137,,,,,,,
BHE_13_ad_2,135,,,,,,,
BHE_13_ad_3,120,,,,,,,
BHE_14_ab_1,159,,,,,,,
BHE_14_ab_2,142,,,,,,,
BHE_14_ab_3,142,,,,,,,
BHE_14_ad_1,130,,,,,,,
BHE_14_ad_2,117,,,,,,,
BHE_14_ad_3,123,,,,,,,
BHE_15_ab_1,195,,,,,,,
BHE_15_ab_2,217,,,,,,,
BHE_15_ab_3,180,,,,,,,
BHE_15_ad_1,170,,,,,,,
BHE_15_ad_2,151,,,,,,,
BHE_15_ad_3,160,,,,,,,
BHE_2_ab_1,95,,,,,,,
BHE_2_ab_2,88,,,,,,,
BHE_2_ab_3,91,,,,,,,
BHE_2_ad_1,100,,,,,,,
BHE_2_ad_2,82,,,,,,,
BHE_2_ad_3,98,,,,,,,
BHE_3_ab_1,131,,,,,,,
BHE_3_ab_2,149,,,,,,,
BHE_3_ab_3,150,,,,,,,
BHE_3_ad_1,157,,,,,,,
BHE_3_ad_2,157,,,,,,,
BHE_3_ad_3,146,,,,,,,
BHE_4_ab_1,137,,,,,,,
BHE_4_ab_2,116,,,,,,,
BHE_4_ab_3,139,,,,,,,
BHE_4_ad_1,186,,,,,,,
BHE_4_ad_2,162,,,,,,,
BHE_4_ad_3,169,,,,,,,
BHE_5_ab_1,184,,,,,,,
BHE_5_ab_2,151,,,,,,,
BHE_5_ab_3,186,,,,,,,
BHE_5_ad_1,159,,,,,,,
BHE_5_ad_2,133,,,,,,,
BHE_5_ad_3,163,,,,,,,
BHE_6_ab_1,86,,,,,,,
BHE_6_ab_2,68,,,,,,,
BHE_6_ab_3,89,,,,,,,
BHE_6_ad_1,80,,,,,,,
BHE_6_ad_2,78,,,,,,,
BHE_6_ad_3,71,,,,,,,
BHE_7_ab_1,187,,,,,,,
BHE_7_ab_2,211,,,,,,,
BHE_7_ab_3,202,,,,,,,
BHE_7_ad_1,190,,,,,,,
BHE_7_ad_2,127,,,,,,,
BHE_7_ad_3,145,,,,,,,
BHE_8_ab_1,,,,,,,,
BHE_8_ab_2,,,,,,,,
BHE_8_ab_3,,,,,,,,
BHE_8_ad_1,,,,,,,,
BHE_8_ad_2,,,,,,,,
BHE_8_ad_3,,,,,,,,
BHE_9_ab_1,,,,,,,,
BHE_9_ab_2,,,,,,,,
BHE_9_ab_3,,,,,,,,
BHE_9_ad_1,,,,,,,,
BHE_9_ad_2,,,,,,,,
BHE_9_ad_3,,,,,,,,
HEC_1_ab_1,169,,,,,,,
HEC_1_ab_2,117,,,,,,,
HEC_1_ab_3,,,,,,,,
HEC_1_ad_1,,,,,,,,
HEC_1_ad_2,,,,,,,,
HEC_1_ad_3,,,,,,,,
HEC_10_ab_1,,,,,,,,
HEC_10_ab_2,,,,,,,,
HEC_10_ab_3,,,,,,,,
HEC_10_ad_1,,,,,,,,
HEC_10_ad_2,,,,,,,,
HEC_10_ad_3,,,,,,,,
HEC_11_ab_1,,,,,,,,
HEC_11_ab_2,,,,,,,,
HEC_11_ab_3,,,,,,,,
HEC_11_ad_1,,,,,,,,
HEC_11_ad_2,,,,,,,,
HEC_11_ad_3,,,,,,,,
HEC_12_ab_1,,,,,,,,
HEC_12_ab_2,,,,,,,,
HEC_12_ab_3,,,,,,,,
HEC_12_ad_1,,,,,,,,
HEC_12_ad_2,,,,,,,,
HEC_12_ad_3,,,,,,,,
HEC_13_ab_1,,,,,,,,
HEC_13_ab_2,,,,,,,,
HEC_13_ab_3,,,,,,,,
HEC_13_ad_1,,,,,,,,
HEC_13_ad_2,,,,,,,,
HEC_13_ad_3,,,,,,,,
HEC_14_ab_1,,,,,,,,
HEC_14_ab_2,,,,,,,,
HEC_14_ab_3,,,,,,,,
HEC_14_ad_1,,,,,,,,
HEC_14_ad_2,,,,,,,,
HEC_14_ad_3,,,,,,,,
HEC_15_ab_1,,,,,,,,
HEC_15_ab_2,,,,,,,,
HEC_15_ab_3,,,,,,,,
HEC_15_ad_1,,,,,,,,
HEC_15_ad_2,,,,,,,,
HEC_15_ad_3,,,,,,,,
HEC_2_ab_1,,,,,,,,
HEC_2_ab_2,,,,,,,,
HEC_2_ab_3,,,,,,,,
HEC_2_ad_1,,,,,,,,
HEC_2_ad_2,,,,,,,,
HEC_2_ad_3,,,,,,,,
HEC_3_ab_1,,,,,,,,
HEC_3_ab_2,,,,,,,,
HEC_3_ab_3,,,,,,,,
HEC_3_ad_1,,,,,,,,
HEC_3_ad_2,,,,,,,,
HEC_3_ad_3,,,,,,,,
HEC_4_ab_1,,,,,,,,
HEC_4_ab_2,,,,,,,,
HEC_4_ab_3,,,,,,,,
HEC_4_ad_1,,,,,,,,
HEC_4_ad_2,,,,,,,,
HEC_4_ad_3,,,,,,,,
HEC_5_ab_1,,,,,,,,
HEC_5_ab_2,,,,,,,,
HEC_5_ab_3,,,,,,,,
HEC_5_ad_1,,,,,,,,
HEC_5_ad_2,,,,,,,,
HEC_5_ad_3,,,,,,,,
HEC_6_ab_1,,,,,,,,
HEC_6_ab_2,,,,,,,,
HEC_6_ab_3,,,,,,,,
HEC_6_ad_1,,,,,,,,
HEC_6_ad_2,,,,,,,,
HEC_6_ad_3,,,,,,,,
HEC_7_ab_1,,,,,,,,
HEC_7_ab_2,,,,,,,,
HEC_7_ab_3,,,,,,,,
HEC_7_ad_1,,,,,,,,
HEC_7_ad_2,,,,,,,,
HEC_7_ad_3,,,,,,,,
HEC_8_ab_1,,,,,,,,
HEC_8_ab_2,,,,,,,,
HEC_8_ab_3,,,,,,,,
HEC_8_ad_1,,,,,,,,
HEC_8_ad_2,,,,,,,,
HEC_8_ad_3,,,,,,,,
HEC_9_ab_1,,,,,,,,
HEC_9_ab_2,,,,,,,,
HEC_9_ab_3,,,,,,,,
HEC_9_ad_1,,,,,,,,
HEC_9_ad_2,,,,,,,,
HEC_9_ad_3,,,,,,,,
LMC_1_ab_1,,,,,,,,
LMC_1_ab_2,,,,,,,,
LMC_1_ab_3,,,,,,,,
LMC_1_ad_1,,,,,,,,
LMC_1_ad_2,,,,,,,,
LMC_1_ad_3,,,,,,,,
LMC_10_ab_1,,,,,,,,
LMC_10_ab_2,,,,,,,,
LMC_10_ab_3,,,,,,,,
LMC_10_ad_1,,,,,,,,
LMC_10_ad_2,,,,,,,,
LMC_10_ad_3,,,,,,,,
LMC_11_ab_1,,,,,,,,
LMC_11_ab_2,,,,,,,,
LMC_11_ab_3,,,,,,,,
LMC_11_ad_1,,,,,,,,
LMC_11_ad_2,,,,,,,,
LMC_11_ad_3,,,,,,,,
LMC_12_ab_1,,,,,,,,
LMC_12_ab_2,,,,,,,,
LMC_12_ab_3,,,,,,,,
LMC_12_ad_1,,,,,,,,
LMC_12_ad_2,,,,,,,,
LMC_12_ad_3,,,,,,,,
LMC_13_ab_1,,,,,,,,
LMC_13_ab_2,,,,,,,,
LMC_13_ab_3,,,,,,,,
LMC_13_ad_1,,,,,,,,
LMC_13_ad_2,,,,,,,,
LMC_13_ad_3,,,,,,,,
LMC_14_ab_1,,,,,,,,
LMC_14_ab_2,,,,,,,,
LMC_14_ab_3,,,,,,,,
LMC_14_ad_1,,,,,,,,
LMC_14_ad_2,,,,,,,,
