file_name,stomata_count,,Notes,,,,Scored by,
BHE_1_ab_1,125,,corners of picture a little fuzzy,,,,Elle,
BHE_1_ab_2,136,,"couple of ""super stomata""",,,,Elle,
BHE_1_ab_3,94,,cool trichomes!,,,,Elle,
BHE_1_ad_1,97,,"sideways trichome? weird circle thingy, not sure if bubble or stomata. couple of black dots, unsure if they're also trichomes",,,,Elle,
BHE_1_ad_2,108,,looks normal,,,,Elle,
BHE_1_ad_3,84,,looks normal,,,,Elle,
BHE_10_ab_1,133,,stomata seem smaller... closer together almost? trichomes,,,,Elle,
BHE_10_ab_2,114,,"trichomes, some bubbles, one weird epidermal cell to the right",,,,Elle,
BHE_10_ab_3,119,,bubbly,,,,Elle,
BHE_10_ad_1,124,,out of focus,,,,Elle,"*did 20 in an hour - includes downloading, saving, and editing spreadsheet"
BHE_10_ad_2,116,,"big bubbles, trichomes",,,,Elle,
BHE_10_ad_3,115,,"very in focus, glandular trichomes",,,,Elle,
BHE_11_ab_1,217,,"in focus, lots of stomata, bottom right edge fuzzy",,,,Elle,
BHE_11_ab_2,211,,bottom left middle blurry,,,,Elle,
BHE_11_ab_3,214,,some blurriness bc of trichomes... ,,,,Elle,
BHE_11_ad_1,156,,big glandular trichomes,,,,Elle,
BHE_11_ad_2,198,,big glandular trichomes,,,,Elle,
BHE_11_ad_3,201,,corners blurry,,,,Elle,
BHE_12_ab_1,154,,bubbles or stomata??,,,,Elle,
BHE_12_ab_2,166,,normal ,,,,Elle,
BHE_12_ab_3,136,,"bubbly, trichomes",,,,Elle,
BHE_12_ad_1,131,,bubbly but normal,,,,Elle,
BHE_12_ad_2,127,,"normal, a little fuzzy",,,,Elle,
BHE_12_ad_3,129,,tad bubbly,,,,Elle,
BHE_13_ab_1,137,,bubbles and trichomes,,,,Elle,
BHE_13_ab_2,145,,"giant air bubble, blurry",,,,Elle,
BHE_13_ab_3,146,,"bubbles, fuzzy",,,,Elle,
BHE_13_ad_1,137,,overexposed almost... ,,,,Elle,
BHE_13_ad_2,135,,also overexposed,,,,Elle,
BHE_13_ad_3,120,,"corners fuzzy, resolution okay",,,,Elle,
BHE_14_ab_1,159,,"normal, trichomes",,,,Elle,
BHE_14_ab_2,142,,right side blurry,,,,Elle,
BHE_14_ab_3,142,,"weird resolution, larger bubble",,,,Elle,
BHE_14_ad_1,130,,"odd resolution gradient, giant trichome ",,,,Elle,
BHE_14_ad_2,117,,dark and blurry in middle,,,,Elle,
BHE_14_ad_3,123,,dark and blurry in left middle,,,,Elle,
BHE_15_ab_1,195,,"lighter, harder to see stomata",,,,Elle,
BHE_15_ab_2,217,,"corners blurry, looks like crinkled tissue paper",,,,Elle,
BHE_15_ab_3,180,,"sides blurry, lots of trichomes",,,,Elle,
BHE_15_ad_1,170,,normal,,,,Elle,
BHE_15_ad_2,151,,"normal, trichomes, cool bump in top left corner",,,,Elle,
BHE_15_ad_3,160,,"normal, trichomes",,,,Elle,
BHE_2_ab_1,95,,"normal, cool ridge in top left ",,,,Elle,
BHE_2_ab_2,88,,normal,,,,Elle,
BHE_2_ab_3,91,,normal ,,,,Elle,
BHE_2_ad_1,100,,normal,,,,Elle,
BHE_2_ad_2,82,,normal,,,,Elle,
BHE_2_ad_3,98,,normal,,,,Elle,
BHE_3_ab_1,131,,normal,,,,Elle,
BHE_3_ab_2,149,,kinda blur,,,,Elle,
BHE_3_ab_3,150,,normal,,,,Elle,
BHE_3_ad_1,157,,kinda blur,,,,Elle,
BHE_3_ad_2,157,,kinda blurry,,,,Elle,
BHE_3_ad_3,146,,blurry around edges,,,,Elle,
BHE_4_ab_1,137,,normal,,,,Elle,
BHE_4_ab_2,116,,normal,,,,Elle,
BHE_4_ab_3,139,,top left and bottom right edges blurry,,,,Elle,
BHE_4_ad_1,186,,"trichomes, okay resolution ",,,,Elle,
BHE_4_ad_2,162,,"trichomes, okay resolution ",,,,Elle,
BHE_4_ad_3,169,,"normal, a little fuzzy",,,,Elle,
BHE_5_ab_1,184,,grainy... weird color,,,,Elle,
BHE_5_ab_2,151,,also grainy,,,,Elle,
BHE_5_ab_3,186,,"also weird color and kinda grainy, but usable ",,,,Elle,
BHE_5_ad_1,159,,less grainy but still off,,,,Elle,
BHE_5_ad_2,133,,"less grainy, more defined, tissue-paper-crinkly ",,,,Elle,
BHE_5_ad_3,163,,good resolution,,,,Elle,
BHE_6_ab_1,86,,normal,,,,Elle,
BHE_6_ab_2,68,,"group of bubbles, less stomata than others, good resolution/focus overall",,,,Elle,
BHE_6_ab_3,89,,"large bubbles, less stomata, good focus",,,,Elle,
BHE_6_ad_1,80,,"normal, tissue papery",,,,Elle,
BHE_6_ad_2,78,,"normal, tissue papery",,,,Elle,
BHE_6_ad_3,71,,"very light, tissue papery",,,,Elle,
BHE_7_ab_1,187,,fine,,,,Elle,
BHE_7_ab_2,211,,"normal, trichomes",,,,Elle,
BHE_7_ab_3,202,,smiley face stomata ,,,,Elle,
BHE_7_ad_1,190,,okay image,,,,Elle,
